Mujhe Mera data balance batao, मुझे मेरा डाटा बैलेंस बताओ,, No mistake
Mujhe network mein problem a rahi hai, मुझे नेटवर्क में प्रॉब्लम आ रही है,, Incorrect Single Word Prediction
balance mein se recharge kaise karen,,, No mistake
Mujhe network mein problem a rahi hai, मुझे नेटवर्क में प्रॉब्लम आ रही है,, No mistake
roaming packs Patna,,, Last word verb missing
which is the highest pool in India,,, No mistake
Airtel app per registration Kaise karvayen,,, No mistake
account balance,,, No mistake
internet aur cal main,,, No mistake
account balance, सकते,, Wrong Ground Truth
account balance, इस काउंट बैलेंस,, Incorrect Single Word Prediction
hello, हैलो,, No mistake
naye plans, हाव विल गेट दो बी टाटा,, Incorrect Prediction of repetition of words
DND request, डीएनडी रीक्वेस्ट,, No mistake
ok, ओके,, No mistake
hello hello, आम लोग हर लो,, No mistake
BTS songs, बीटीएस संग्,, Extra Words Predicted
BTS songs, बीटीएस संग्,, No mistake
hello hello, आम लोग हर लो,, Wrong Ground Truth
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, No mistake
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Similar Sounding Word Predicted
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Last word verb missing
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Doesnt pick up English
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Random Prediction
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, V instead of B
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Wrong Ground Truth
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Extra Words Predicted
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Fast Spoken Sentence
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, P instead of B
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Incorrect Single Word Prediction
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Incorrect Prediction of repetition of words
hello hello, आम लोग हर लो,, Last word verb missing
BTS songs, बीटीएस संग्,, Last word verb missing
hello hello, आम लोग हर लो,, Doesnt pick up English
Wi-Fi pack, वाई 5 पैक,, Incorrect Prediction of repetition of words
I want to know my data balance, आइ वांट दो नो माइ डाटा बैलेंस,, P instead of B
I want to know my data balance, आइ वांट दो नो माइ डाटा बैलेंस,, No mistake
account balance, अकाउंट बैलेंस,, Random Prediction
account balance, अकाउंट बैलेंस,, V instead of B
recharge, बीच,, Doesnt pick up English
Mujhe alag alag data packs batao, मुझे अलग अलग डाटा पैक्स बताओ,, Incorrect Prediction of repetition of words
no, 9,, Similar Sounding Word Predicted
no, 9,, Incorrect Single Word Prediction
recharge, रिचाव,, No mistake
Mera Bil Kitna Hua Hai, मेरा बिल कितना हुआ है,, No mistake
data balance, नोट ए बैलेंस,, Incorrect Prediction of repetition of words
international roaming packs bataiye, इंटरनेशनल रोमिंग पैक्स बताए,, Similar Sounding Word Predicted
payment, पेमेंट,, No mistake
MLP, मन की,,  Both model prediction and ground truth wrong
50 ka recharge kar do, 50 का रिचार्ज कर दो,, No mistake
main Airtel billing se top up Kyon nahin kar pa raha hun, मैं एयरटल बिलिंग से टॉप अब क्यों नहीं कर पा रहा हूँ,, Doesnt pick up English
149 wala, 100 जावाला,, Incorrect Prediction of repetition of words
hello tune Rula ke gasterra, हेलो टून की गेस तेरा,,  Both model prediction and ground truth wrong
theek hai theek hai, वह ठीक है ठीक है,, Extra Words Predicted
dream, ड्रीम 11,, Wrong Ground Truth
hello tune, हेलो ट्यून,, No mistake
DD National mangalsutra natak, डिड नेशनल है मंगा सूत्रा नाटक,, Extra Words Predicted
Mujhe DND activate karna tha, मुझे डी एन डी एक्टिवेट करना था,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
mujhe kuchh batao, मुझे कुछ बताओ,, No mistake
how to activate the caller tune, हाउ दो एक्टिव द कॉलर टून,, Incorrect Prediction of repetition of words
kya I mean I know how to data, या आइ मीन आइ नो आ गुड डाटा ब,, Wrong Ground Truth
yes, पीएस,, Incorrect Single Word Prediction
DJ wala song Baja De, डीजी वाला संग बजते है,, Doesnt pick up English
I want to buy a data pack, आइ वांट दो बाइ ए डाटा बाक,, Incorrect Prediction of repetition of words
how are you, हाउ आर यु,, No mistake
Mujhe 399 rupaye ka recharge karna tha, मरा 300 निन्याय रुपये का रिचार्ज करना था,, Similar Sounding Word Predicted
Main Apne Airtel bolate per 319 add kiye the jo abhi tak mere wallet Mein Nahin Aaye Hain kripya sujhav dijiye, मैंने अपने एयरटेल बोले पर बीन 1001  निस पर आदि तेज अब तक मुटि और लक में नहीं आए है क्या विचार दीजि,, Doesnt pick up English
Mujhe 399 rupaye ka recharge karna tha, मरा 300 निन्याय रुपये का रिचार्ज करना था,, Doesnt pick up English
hello, हेलो,, No mistake
registering ka upyog, इट इट इस ड्रिंक आ बिल्की,, Incorrect Prediction of repetition of words
Apne per Baat Hai To fir abhi kahan chala rahe ho, नेवर वाई थे डॉ बी कम दो नो डु,, Incorrect Prediction of repetition of words
